Type,Language,Duration,delta,WhFront,Inversion,Q,Cleft,CleftMovement,goal
EstCeQue,French,0.06,6,1,0,1,0,0,information-seeking
EstCeQue,French,0.1,-6,1,0,1,0,0,information-seeking
EstCeQue,French,0.071,-0.5,1,0,1,0,0,information-seeking
EstCeQue,French,0.08,-2,1,0,1,0,0,information-seeking
EstCeQue,French,0.08,-8,1,0,1,0,0,information-seeking
EstCeQue,French,0.07,-22,1,0,1,0,0,information-seeking
EstCeQue,French,0.078,6,1,0,1,0,0,information-seeking
EstCeQue,French,0.079,-16,1,0,1,0,0,information-seeking
EstCeQue,French,0.059,18,1,0,1,0,0,information-seeking
EstCeQue,French,0.05,-4,1,0,1,0,0,information-seeking
EstCeQue,French,0.11,-23,1,0,1,0,0,information-seeking
frontedInver,French,0.085,-33,1,1,0,0,0,information-seeking
frontedInver,French,0.061,-29,1,1,0,0,0,information-seeking
frontedInver,French,0.062,-22,1,1,0,0,0,information-seeking
frontedInver,French,0.06,4,1,1,0,0,0,information-seeking
frontedInver,French,0.09,-21,1,1,0,0,0,information-seeking
frontedNoInver,French,0.082,2,1,0,0,0,0,information-seeking
frontedNoInver,French,0.1,-20,1,0,0,0,0,information-seeking
frontedNoInver,French,0.09,10,1,0,0,0,0,information-seeking
frontedNoInver,French,0.07,-27,1,0,0,0,0,information-seeking
frontedNoInver,French,0.1,-48,1,0,0,0,0,information-seeking
frontedNoInver,French,0.1,-10,1,0,0,0,0,information-seeking
frontedNoInver,French,0.06,-12,1,0,0,0,0,information-seeking
frontedNoInver,French,0.06,-22,1,0,0,0,0,information-seeking
frontedNoInver,French,0.11,-3,1,0,0,0,0,information-seeking
frontedNoInver,French,0.15,8,1,0,0,0,0,information-seeking
echo,French,0.08,-108,0,0,0,0,0,clarification
echo,French,0.15,84,0,0,0,0,0,clarification
echo,French,0.1,78,0,0,0,0,0,clarification
echo,French,0.15,21,0,0,0,0,0,clarification
echo,French,0.1,107,0,0,0,0,0,clarification
echo,French,0.094,22,0,0,0,0,0,clarification
echo,French,0.075,78,0,0,0,0,0,clarification
echo,French,0.078,45,0,0,0,0,0,clarification
echo,French,0.2,20,0,0,0,0,0,clarification
echo,French,0.21,84,0,0,0,0,0,clarification
echo,French,0.09,72,0,0,0,0,0,clarification
echo,French,0.13,57,0,0,0,0,0,clarification
echo,French,0.11,37,0,0,0,0,0,clarification
echo,French,0.1,74,0,0,0,0,0,clarification
echo,French,0.08,45,0,0,0,0,0,clarification
echo,French,0.2,41,0,0,0,0,0,clarification
echo,French,0.23,-121,0,0,0,0,0,clarification
echo,French,0.11,60,0,0,0,0,0,clarification
echo,French,0.18,20,0,0,0,0,0,clarification
echo,French,0.16,81,0,0,0,0,0,clarification
echo,French,0.2,7,0,0,0,0,0,clarification
echo,French,0.23,-32,0,0,0,0,0,clarification
echo,French,0.21,-24,0,0,0,0,0,clarification
echo,French,0.29,7,0,0,0,0,0,clarification
echo,French,0.27,-110,0,0,0,0,0,clarification
echo,French,0.33,155,0,0,0,0,0,clarification
content,French,0.11,58,0,0,0,0,0,information-seeking
content,French,0.17,20,0,0,0,0,0,information-seeking
content,French,0.24,56,0,0,0,0,0,information-seeking
content,French,0.13,-6,0,0,0,0,0,information-seeking
content,French,0.13,8,0,0,0,0,0,information-seeking
content,French,0.18,70,0,0,0,0,0,information-seeking
content,French,0.14,0,0,0,0,0,0,information-seeking
content,French,0.16,-1,0,0,0,0,0,information-seeking
content,French,0.13,15,0,0,0,0,0,information-seeking
content,French,0.13,3,0,0,0,0,0,information-seeking
content,French,0.1,24,0,0,0,0,0,information-seeking
content,French,0.2,-7,0,0,0,0,0,information-seeking
content,French,0.2,4,0,0,0,0,0,information-seeking
content,French,0.138,-20,0,0,0,0,0,information-seeking
content,French,0.09,-19,0,0,0,0,0,information-seeking
content,French,0.15,38,0,0,0,0,0,information-seeking
content,French,0.25,127,0,0,0,0,0,information-seeking
content,French,0.14,11,0,0,0,0,0,information-seeking
content,French,0.15,-16,0,0,0,0,0,information-seeking
content,French,0.118,4,0,0,0,0,0,information-seeking
content,French,0.05,-1,0,0,0,0,0,information-seeking
content,French,0.16,-29,0,0,0,0,0,information-seeking
content,French,0.195,-19,0,0,0,0,0,information-seeking
echo,English,0.31,152,0,0,0,0,0,clarification
echo,English,0.184,13,0,0,0,0,0,clarification
echo,English,0.21,-13,0,0,0,0,0,clarification
echo,English,0.28,146,0,0,0,0,0,clarification
echo,English,0.32,127,0,0,0,0,0,clarification
echo,English,0.3,60,0,0,0,0,0,clarification
echo,English,0.33,177,0,0,0,0,0,clarification
echo,English,0.25,63,0,0,0,0,0,clarification
echo,English,0.27,198,0,0,0,0,0,clarification
echo,English,0.36,127,0,0,0,0,0,clarification
echo,English,0.19,20,0,0,0,0,0,clarification
echo,English,0.18,42,0,0,0,0,0,clarification
echo,English,0.24,163,0,0,0,0,0,clarification
echo,English,0.23,104,0,0,0,0,0,clarification
echo,English,0.19,148,0,0,0,0,0,clarification
echo,English,0.36,141,0,0,0,0,0,clarification
echo,English,0.245,107,0,0,0,0,0,clarification
echo,English,0.185,36,0,0,0,0,0,clarification
echo,English,0.27,212,0,0,0,0,0,clarification
echo,English,0.29,183,0,0,0,0,0,clarification
echo,English,0.166,64,0,0,0,0,0,clarification
echo,English,0.23,126,0,0,0,0,0,clarification
content,English,0.27,2,0,0,0,0,0,information-seeking
content,English,0.27,-113,0,0,0,0,0,information-seeking
content,English,0.14,6,0,0,0,0,0,information-seeking
content,English,0.12,-18,0,0,0,0,0,information-seeking
content,English,0.22,15,0,0,0,0,0,information-seeking
content,English,0.13,-16,0,0,0,0,0,information-seeking
content,English,0.24,-30,0,0,0,0,0,information-seeking
content,English,0.056,-113,0,0,0,0,0,information-seeking
content,English,0.22,-143,0,0,0,0,0,information-seeking
content,English,0.22,12,0,0,0,0,0,information-seeking
content,English,0.4,-140,0,0,0,0,0,information-seeking
content,English,0.19,2,0,0,0,0,0,information-seeking
content,English,0.12,-40,0,0,0,0,0,information-seeking
content,English,0.31,55,0,0,0,0,0,information-seeking
content,English,0.25,78,0,0,0,0,0,information-seeking
content,English,0.2,3,0,0,0,0,0,information-seeking
content,English,0.37,-5,0,0,0,0,0,information-seeking
content,English,0.11,-15,0,0,0,0,0,information-seeking
content,English,0.16,78,0,0,0,0,0,information-seeking
content,English,0.23,-60,0,0,0,0,0,information-seeking
content,English,0.23,-11,0,0,0,0,0,information-seeking
content,English,0.14,-14,0,0,0,0,0,information-seeking
fronted,English,0.137,12,1,1,0,0,0,information-seeking
fronted,English,0.11,1,1,1,0,0,0,information-seeking
fronted,English,0.104,1,1,1,0,0,0,information-seeking
fronted,English,0.16,-7,1,1,0,0,0,information-seeking
fronted,English,0.13,-136,1,1,0,0,0,information-seeking
fronted,English,0.2,55,1,1,0,0,0,information-seeking
fronted,English,0.13,32,1,1,0,0,0,information-seeking
fronted,English,0.1,8,1,1,0,0,0,information-seeking
fronted,English,0.13,-28,1,1,0,0,0,information-seeking
fronted,English,0.104,21,1,1,0,0,0,information-seeking
fronted,English,0.123,-15,1,1,0,0,0,information-seeking
fronted,English,0.134,23,1,1,0,0,0,information-seeking
fronted,English,0.136,23,1,1,0,0,0,information-seeking
fronted,English,0.134,23,1,1,0,0,0,information-seeking
fronted,English,0.1,-18,1,1,0,0,0,information-seeking
fronted,English,0.19,16,1,1,0,0,0,information-seeking
fronted,English,0.28,2,1,1,0,0,0,information-seeking
fronted,English,0.19,-29,1,1,0,0,0,information-seeking
fronted,English,0.12,10,1,1,0,0,0,information-seeking
fronted,English,0.09,-11,1,1,0,0,0,information-seeking
fronted,English,0.12,-40,1,1,0,0,0,information-seeking
fronted,English,0.19,-46,1,1,0,0,0,information-seeking
fronted,English,0.28,-48,1,1,0,0,0,information-seeking
fronted,English,0.1,2,1,1,0,0,0,information-seeking
fronted,English,0.16,24,1,1,0,0,0,information-seeking
fronted,English,0.125,-10,1,1,0,0,0,information-seeking
fronted,English,0.116,-24,1,1,0,0,0,information-seeking
